nama_makanan,kategori_makanan,jenis_kemasan,lokasi_penyimpanan,sudah_terbuka,hari_berakhir,hari_sejak_dibuka,sisa_hari,label,cara_simpan
Nugget Ikan,Produk Protein,Plastik,Pembeku,0,177,0,177,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Nugget Tempe,Produk Protein,Plastik,Pembeku,0,85,0,85,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Nugget Udang,Produk Protein,Plastik,Pembeku,0,150,0,150,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Sosis Frozen,Produk Protein,Plastik,Pembeku,1,73,5,-2,Kadaluwarsa,"Setelah dibuka, pastikan kemasan tertutup sangat rapat dan simpan di tempat yang sejuk."
Sereal Coklat,Produk Kering,Karton,Suhu Ruang,1,52,12,-5,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Biskuit Sandwich,Produk Kering,Plastik,Suhu Ruang,0,38,0,38,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Biskuit Crackers,Produk Kering,Plastik,Suhu Ruang,0,128,0,128,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Leci Dalam Sirup,Produk Kaleng,Kaleng,Suhu Ruang,1,500,7,-4,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Nugget Sapi,Produk Protein,Plastik,Pembeku,0,172,0,172,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Kornet Ayam,Produk Kaleng,Kaleng,Suhu Ruang,1,36,8,-5,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Sereal Oat,Produk Kering,Karton,Suhu Ruang,0,24,0,24,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Yogurt Plain,Produk Olahan Susu,Plastik,Pendingin,1,23,6,-1,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Yogurt Stroberi,Produk Olahan Susu,Plastik,Pendingin,1,16,7,-4,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Keju Mozzarella,Produk Olahan Susu,Plastik,Pendingin,0,23,0,23,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Uht Full Cream,Produk Olahan Susu,Karton,Pendingin,1,139,11,-4,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Jus Sirsak,Produk Minuman,Karton,Pendingin,0,22,0,22,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Mie Instan Ayam,Produk Kering,Plastik,Suhu Ruang,1,143,1,-1,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Sereal Muesli,Produk Kering,Karton,Suhu Ruang,0,277,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Kental Manis Coklat,Produk Olahan Susu,Kaleng,Pendingin,0,191,0,191,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sosis Sapi,Produk Protein,Plastik,Pendingin,0,11,0,11,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Biskuit Mentega,Produk Kering,Kaleng,Suhu Ruang,0,267,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Nugget Udang,Produk Protein,Plastik,Pembeku,1,135,6,-3,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Keju Cream Cheese,Produk Olahan Susu,Karton,Pendingin,1,29,3,11,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Susu Uht Coklat,Produk Olahan Susu,Karton,Pendingin,0,140,0,140,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Air Mineral,Produk Minuman,Plastik,Suhu Ruang,0,118,0,-50,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Uht Stroberi,Produk Olahan Susu,Karton,Pendingin,1,216,3,-2,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Teh Tarik,Produk Minuman,Karton,Pendingin,0,186,0,186,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Kedelai,Produk Olahan Susu,Karton,Pendingin,1,20,1,4,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Cola Zero Sugar,Produk Minuman,Kaleng,Suhu Ruang,0,179,0,179,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Keju Cheddar,Produk Olahan Susu,Plastik,Pendingin,0,102,0,102,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sarden Minyak Zaitun,Produk Kaleng,Kaleng,Suhu Ruang,1,500,1,1,Segera,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Susu Uht Coklat,Produk Olahan Susu,Karton,Pendingin,1,177,6,-5,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Mie Instan Soto,Produk Kering,Plastik,Suhu Ruang,1,307,3,-3,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Jus Anggur,Produk Minuman,Botol Kaca,Pendingin,1,151,10,-5,Kadaluwarsa,"Setelah dibuka, pastikan kemasan tertutup sangat rapat dan simpan di tempat yang sejuk."
Susu Bubuk Skim,Produk Olahan Susu,Karton,Suhu Ruang,1,500,12,3,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Yogurt Stroberi,Produk Olahan Susu,Plastik,Pendingin,0,6,0,6,Segera,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Yogurt Mangga,Produk Olahan Susu,Plastik,Pendingin,0,29,0,29,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sereal Muesli,Produk Kering,Karton,Suhu Ruang,0,230,0,230,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Ikan Salmon,Produk Kaleng,Kaleng,Suhu Ruang,0,500,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Nanas Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,0,500,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Ikan Tuna,Produk Kaleng,Kaleng,Suhu Ruang,0,494,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Cola Zero Sugar,Produk Minuman,Kaleng,Suhu Ruang,1,8,2,-1,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Nanas Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,0,269,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sosis Sapi,Produk Protein,Plastik,Pendingin,1,9,8,-3,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Yogurt Plain,Produk Olahan Susu,Plastik,Pendingin,0,12,0,12,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sereal Coklat,Produk Kering,Karton,Suhu Ruang,1,11,6,11,Segar,"Setelah dibuka, pastikan kemasan tertutup sangat rapat dan simpan di tempat yang sejuk."
Air Mineral,Produk Minuman,Plastik,Suhu Ruang,1,500,3,-2,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Sosis Bebek,Produk Protein,Plastik,Pendingin,1,45,5,2,Segera,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Sosis Frozen,Produk Protein,Plastik,Pembeku,1,3,1,2,Segera,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Susu Uht Vanila,Produk Olahan Susu,Karton,Pendingin,1,139,3,-2,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Yogurt Blueberry,Produk Olahan Susu,Plastik,Pendingin,1,17,8,-5,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Jus Mangga,Produk Minuman,Karton,Pendingin,0,107,0,107,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Mie Instan Ayam,Produk Kering,Plastik,Suhu Ruang,1,174,5,-5,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Cola Original,Produk Minuman,Kaleng,Suhu Ruang,1,123,2,-1,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Minuman Energi,Produk Minuman,Kaleng,Suhu Ruang,1,148,1,0,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Keju Cheddar,Produk Olahan Susu,Plastik,Pendingin,0,48,0,48,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Minuman Isotonik,Produk Minuman,Plastik,Suhu Ruang,0,50,0,50,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sarden Minyak Zaitun,Produk Kaleng,Kaleng,Suhu Ruang,0,500,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Pasteurisasi,Produk Olahan Susu,Plastik,Pendingin,1,10,5,-2,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Keju Cheddar,Produk Olahan Susu,Plastik,Pendingin,1,27,5,9,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Leci Dalam Sirup,Produk Kaleng,Kaleng,Suhu Ruang,1,500,4,-1,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Susu Uht Low Fat,Produk Olahan Susu,Karton,Pendingin,0,218,0,218,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Bubuk Skim,Produk Kering,Karton,Suhu Ruang,1,500,12,15,Segar,"Setelah dibuka, pastikan kemasan tertutup sangat rapat dan simpan di tempat yang sejuk."
Sereal Coklat,Produk Kering,Karton,Suhu Ruang,0,7,0,7,Segera,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Air Mineral,Produk Minuman,Plastik,Suhu Ruang,1,500,5,-4,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Pendingin,1,11,2,1,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Jus Mangga,Produk Minuman,Karton,Pendingin,0,127,0,127,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Kental Manis Coklat,Produk Olahan Susu,Kaleng,Pendingin,0,336,0,250,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sosis Frankfurter,Produk Protein,Plastik,Pendingin,1,47,9,-2,Kadaluwarsa,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Kornet Sapi,Produk Kaleng,Kaleng,Suhu Ruang,1,94,1,2,Segera,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Teh Kotak Hijau,Produk Minuman,Karton,Suhu Ruang,0,262,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Jus Sirsak,Produk Minuman,Karton,Pendingin,1,167,7,-4,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Ikan Salmon,Produk Kaleng,Kaleng,Suhu Ruang,1,56,2,0,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Susu Bubuk Full Cream,Produk Olahan Susu,Karton,Suhu Ruang,1,500,12,-2,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Nugget Ikan,Produk Protein,Plastik,Pembeku,0,66,0,66,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Sosis Bebek,Produk Protein,Plastik,Pendingin,0,28,0,28,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Cola Original,Produk Minuman,Kaleng,Suhu Ruang,1,258,1,0,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Jus Apel,Produk Minuman,Karton,Pendingin,0,85,0,85,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sereal Granola,Produk Kering,Karton,Suhu Ruang,0,270,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sosis Ayam,Produk Protein,Plastik,Pendingin,0,43,0,43,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Air Mineral,Produk Minuman,Plastik,Suhu Ruang,0,488,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Ikan Makerel,Produk Kaleng,Kaleng,Suhu Ruang,1,500,6,-4,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Susu Bubuk Skim,Produk Olahan Susu,Kardus,Suhu Ruang,0,317,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sarden Cabai,Produk Kaleng,Kaleng,Suhu Ruang,1,500,4,-2,Kadaluwarsa,"Setelah dibuka, pastikan kemasan tertutup sangat rapat dan simpan di tempat yang sejuk."
Soda Jeruk,Produk Minuman,Kaleng,Suhu Ruang,0,133,0,133,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Kental Manis Putih,Produk Olahan Susu,Kaleng,Pendingin,0,141,0,141,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sereal Cornflakes,Produk Kering,Karton,Suhu Ruang,0,59,0,59,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Bubuk Coklat,Produk Olahan Susu,Karton,Suhu Ruang,1,500,12,9,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Keju Parmesan,Produk Olahan Susu,Plastik,Pendingin,0,275,0,250,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Mangga Kaleng,Produk Kaleng,Kaleng,Suhu Ruang,0,500,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Leci Dalam Sirup,Produk Kaleng,Kaleng,Suhu Ruang,1,500,8,-5,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Jagung Manis Kaleng,Produk Kaleng,Kaleng,Pendingin,1,500,5,-2,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Yogurt Plain,Produk Olahan Susu,Plastik,Pendingin,1,4,1,4,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Pendingin,0,20,0,20,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Biskuit Sandwich,Produk Kering,Plastik,Suhu Ruang,0,114,0,114,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Ikan Salmon,Produk Kaleng,Kaleng,Suhu Ruang,1,500,4,-2,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Mie Instan Soto,Produk Kering,Plastik,Suhu Ruang,1,59,3,-3,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Ikan Makerel,Produk Kaleng,Kaleng,Suhu Ruang,0,500,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Kornet Sapi,Produk Kaleng,Kaleng,Suhu Ruang,1,283,2,1,Segera,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Sosis Ikan,Produk Protein,Plastik,Pendingin,0,4,0,4,Segera,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sarden Tomat,Produk Kaleng,Kaleng,Suhu Ruang,0,500,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Jus Mangga,Produk Minuman,Karton,Pendingin,0,163,0,163,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Biskuit Mentega,Produk Kering,Kaleng,Suhu Ruang,1,323,3,11,Segar,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Keju Mozzarella,Produk Olahan Susu,Plastik,Pendingin,1,37,4,3,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Sereal Oat,Produk Kering,Karton,Suhu Ruang,0,127,0,127,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Air Mineral,Produk Minuman,Plastik,Suhu Ruang,0,500,0,-50,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Biskuit Sandwich,Produk Kering,Plastik,Suhu Ruang,0,107,0,107,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Nugget Udang,Produk Protein,Plastik,Pembeku,0,171,0,171,Segar,Simpan dalam pembeku pada suhu -18°C atau lebih rendah agar kualitas terjaga.
Teh Kotak Jasmine,Produk Minuman,Karton,Suhu Ruang,0,40,0,40,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Biskuit Oreo,Produk Kering,Plastik,Suhu Ruang,0,119,0,119,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Jus Jambu,Produk Minuman,Karton,Pendingin,0,61,0,61,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Nugget Ikan,Produk Protein,Plastik,Pembeku,1,41,1,2,Segera,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Biskuit Wafer,Produk Kering,Plastik,Suhu Ruang,1,14,2,3,Segera,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Kornet Ayam,Produk Kaleng,Kaleng,Suhu Ruang,1,161,2,1,Segera,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Yogurt Plain,Produk Olahan Susu,Plastik,Pendingin,1,16,7,-2,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Ikan Salmon,Produk Kaleng,Kaleng,Suhu Ruang,1,500,1,1,Segera,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Biskuit Sandwich,Produk Kering,Plastik,Suhu Ruang,0,78,0,78,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Biskuit Crackers,Produk Kering,Plastik,Suhu Ruang,0,42,0,42,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Yogurt Greek,Produk Olahan Susu,Plastik,Pendingin,0,16,0,16,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Susu Uht Low Fat,Produk Olahan Susu,Karton,Pendingin,0,169,0,169,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Ikan Salmon,Produk Kaleng,Kaleng,Suhu Ruang,1,500,3,-1,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Leci Dalam Sirup,Produk Kaleng,Kaleng,Suhu Ruang,1,120,4,-1,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Soda Lemon,Produk Minuman,Kaleng,Suhu Ruang,1,322,3,-2,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
